[OK] req=-15.0 dBm -> set=-15.0 dBm, avg=20
[OK] req=-16.041666666666668 dBm -> set=-16.041666666666668 dBm, avg=20
[OK] req=-17.083333333333332 dBm -> set=-17.083333333333332 dBm, avg=20
[OK] req=-18.125 dBm -> set=-18.125 dBm, avg=20
[OK] req=-19.166666666666668 dBm -> set=-19.166666666666668 dBm, avg=20
[OK] req=-20.208333333333336 dBm -> set=-20.208333333333336 dBm, avg=20
[OK] req=-21.25 dBm -> set=-21.25 dBm, avg=20
[OK] req=-22.291666666666668 dBm -> set=-22.291666666666668 dBm, avg=20
[OK] req=-23.333333333333336 dBm -> set=-23.333333333333336 dBm, avg=20
[OK] req=-24.375 dBm -> set=-24.375 dBm, avg=20
[OK] req=-25.416666666666668 dBm -> set=-25.416666666666668 dBm, avg=20
[OK] req=-26.458333333333336 dBm -> set=-26.458333333333336 dBm, avg=20
[OK] req=-27.5 dBm -> set=-27.5 dBm, avg=20
[OK] req=-28.541666666666668 dBm -> set=-28.541666666666668 dBm, avg=20
[OK] req=-29.583333333333336 dBm -> set=-29.583333333333336 dBm, avg=20
[OK] req=-30.625 dBm -> set=-30.625 dBm, avg=20
[OK] req=-31.666666666666668 dBm -> set=-31.666666666666668 dBm, avg=20
[OK] req=-32.708333333333336 dBm -> set=-32.708333333333336 dBm, avg=20
[OK] req=-33.75 dBm -> set=-33.75 dBm, avg=20
[OK] req=-34.79166666666667 dBm -> set=-34.79166666666667 dBm, avg=20
[OK] req=-35.833333333333336 dBm -> set=-35.833333333333336 dBm, avg=20
[OK] req=-36.875 dBm -> set=-36.875 dBm, avg=20
[OK] req=-37.91666666666667 dBm -> set=-37.91666666666667 dBm, avg=20
[OK] req=-38.958333333333336 dBm -> set=-38.958333333333336 dBm, avg=20
[OK] req=-40.0 dBm -> set=-40.0 dBm, avg=20
